ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
10,pc-10,10,,,
14,pc-14,14,,,
2,pc-2,2,,,
9,pc-9,9,,,
5,pc-5,5,,,
1,pc-1,1,,,
6,pc-6,6,,,
11,pc-11,11,,,
3,pc-3,3,,,
7,pc-7,7,,,
8,pc-8,8,,,
4,pc-4,4,,,
12,pc-12,12,,,
15,pc-15,15,,,
17,pc-17,17,,,
40,pc-40,40,,,
16,pc-16,16,,,
13,pc-13,13,,,
32,pc-32,32,,,
38,pc-38,38,,,
21,pc-21,21,,,
22,pc-22,22,,,
23,pc-23,23,,,
18,pc-18,18,,,
19,pc-19,19,,,
37,pc-37,37,,,
28,pc-28,28,,,
30,pc-30,30,,,
31,pc-31,31,,,
36,pc-36,36,,,
39,pc-39,39,,,
26,pc-26,26,,,
35,pc-35,35,,,
24,pc-24,24,,,
41,pc-41,41,,,
1-1,1,1,,,
2-1,2,1,,,
3-1,3,1,,,
4-1,4,1,,,
5-1,5,1,,,
6-1,6,1,,,
7-1,7,1,,,
8-1,8,1,,,
9-1,9,1,,,
10-1,10,1,,,
11-1,11,1,,,
12-1,12,1,,,
13-1,13,1,,,
14-1,14,1,,,
15-2,15,2,,,
16-2,16,2,,,
17-2,17,2,,,
18-2,18,2,,,
19-2,19,2,,,
20-2,20,2,,,
21-2,21,2,,,
22-2,22,2,,,
23-2,23,2,,,
24-2,24,2,,,
25-2,25,2,,,
26-2,26,2,,,
27-2,27,2,,,
28-2,28,2,,,
29-3,29,3,,,
30-3,30,3,,,
31-3,31,3,,,
32-3,32,3,,,
33-3,33,3,,,
34-4,34,4,,,
35-4,35,4,,,
36-4,36,4,,,
37-4,37,4,,,
38-5,38,5,,,
39-5,39,5,,,
40-5,40,5,,,
41-5,41,5,,,
42-5,42,5,,,
43-5,43,5,,,
44-5,44,5,,,
45-5,45,5,,,
46-5,46,5,,,
47-5,47,5,,,
48-5,48,5,,,
49-5,49,5,,,
50-5,50,5,,,
51-6,51,6,,,
52-6,52,6,,,
53-6,53,6,,,
54-6,54,6,,,
55-6,55,6,,,
56-6,56,6,,,
57-6,57,6,,,
58-6,58,6,,,
59-6,59,6,,,
60-6,60,6,,,
61-7,61,7,,,
62-7,62,7,,,
63-7,63,7,,,
64-7,64,7,,,
65-7,65,7,,,
66-8,66,8,,,
67-8,67,8,,,
68-8,68,8,,,
69-8,69,8,,,
70-8,70,8,,,
71-9,71,9,,,
72-9,72,9,,,
73-9,73,9,,,
74-9,74,9,,,
75-9,75,9,,,
76-9,76,9,,,
77-9,77,9,,,
78-9,78,9,,,
79-9,79,9,,,
80-9,80,9,,,
81-9,81,9,,,
82-9,82,9,,,
83-9,83,9,,,
84-10,84,10,,,
85-10,85,10,,,
86-10,86,10,,,
87-10,87,10,,,
88-10,88,10,,,
89-10,89,10,,,
90-10,90,10,,,
91-10,91,10,,,
92-10,92,10,,,
93-10,93,10,,,
94-10,94,10,,,
95-10,95,10,,,
96-11,96,11,,,
97-11,97,11,,,
98-11,98,11,,,
99-11,99,11,,,
100-11,100,11,,,
101-11,101,11,,,
102-12,102,12,,,
103-12,103,12,,,
104-12,104,12,,,
105-13,105,13,,,
106-13,106,13,,,
107-13,107,13,,,
108-13,108,13,,,
109-13,109,13,,,
110-13,110,13,,,
111-13,111,13,,,
112-13,112,13,,,
113-13,113,13,,,
114-13,114,13,,,
115-14,115,14,,,
116-14,116,14,,,
117-14,117,14,,,
118-14,118,14,,,
119-14,119,14,,,
120-14,120,14,,,
121-14,121,14,,,
122-14,122,14,,,
123-14,123,14,,,
124-14,124,14,,,
125-14,125,14,,,
126-14,126,14,,,
127-14,127,14,,,
128-14,128,14,,,
129-14,129,14,,,
130-15,130,15,,,
131-16,131,16,,,
132-16,132,16,,,
133-17,133,17,,,
134-17,134,17,,,
135-17,135,17,,,
136-17,136,17,,,
137-17,137,17,,,
138-17,138,17,,,
139-17,139,17,,,
140-17,140,17,,,
141-17,141,17,,,
142-17,142,17,,,
143-18,143,18,,,
144-18,144,18,,,
145-19,145,19,,,
146-19,146,19,,,
147-21,147,21,,,
148-21,148,21,,,
149-22,149,22,,,
150-22,150,22,,,
151-22,151,22,,,
152-22,152,22,,,
153-22,153,22,,,
154-22,154,22,,,
155-22,155,22,,,
156-22,156,22,,,
157-22,157,22,,,
158-22,158,22,,,
159-22,159,22,,,
160-22,160,22,,,
161-22,161,22,,,
162-23,162,23,,,
163-23,163,23,,,
164-23,164,23,,,
165-23,165,23,,,
166-24,166,24,,,
167-26,167,26,,,
168-10,168,10,,,
169-28,169,28,,,
170-28,170,28,,,
171-30,171,30,,,
172-31,172,31,,,
173-32,173,32,,,
174-32,174,32,,,
175-32,175,32,,,
176-32,176,32,,,
177-32,177,32,,,
178-32,178,32,,,
179-32,179,32,,,
180-35,180,35,,,
181-36,181,36,,,
182-37,182,37,,,
183-37,183,37,,,
184-37,184,37,,,
185-38,185,38,,,
186-38,186,38,,,
187-38,187,38,,,
188-38,188,38,,,
189-38,189,38,,,
190-38,190,38,,,
191-38,191,38,,,
192-38,192,38,,,
193-38,193,38,,,
194-39,194,39,,,
195-40,195,40,,,
196-40,196,40,,,
197-40,197,40,,,
198-40,198,40,,,
199-40,199,40,,,
200-41,200,41,,,
201-10,201,10,,,
