ID,Language_ID,Form,Segments,Comment,Source,Parameter_ID
pc-41,PC,*oC,,nan,,search
pc-15,PC,*ma,,nan,gildea2007greenberg[29],fellfarm
pc-12,PC,*mɨ,,nan,gildea2007greenberg[29],give
pc-8,PC,*pətɨ,,nan,gildea2007greenberg[29],gatherfruit
pc-7,PC,*papo,,nan,gildea2007greenberg[29],throwout
pc-3,PC,*əwɨ,,nan,gildea2007greenberg[29],takeout
pc-11,PC,*jə,,nan,gildea2007greenberg[29],cookboil
pc-17,PC,*nəmə,,nan,,leave
pc-6,PC,*ɨkɨ,,nan,gildea2007greenberg[29],gratemanioc
pc-5,PC,*kapɨ,,nan,gildea2007greenberg[29],weave
pc-9,PC,*pɨ,,nan,gildea2007greenberg[29],bathe
pc-2,PC,*ənə,,nan,gildea2007greenberg[29],eatmeat
pc-14,PC,*wə,,nan,gildea2007greenberg[29],shootkill
pc-10,PC,*ɨrɨ,,nan,gildea2007greenberg[29],domake
pc-24,PC,*inupoki,,nan,,forget
pc-1,PC,*əku,,nan,gildea2007greenberg[29],eatstarch
pc-40,PC,*utu,,nan,gildea2007greenberg[49],give
pc-4,PC,*urə,,nan,gildea2007greenberg[29],lightfire
pc-13,PC,*(u)putu,,nan,meira2005southern[140],know
pc-35,PC,*pa,,nan,,do
pc-26,PC,*ɨm,,nan,,kill
pc-39,PC,*ike,,nan,,peeltakeoff
pc-16,PC,*ɨkɨrɨ,,nan,,takefrom
pc-31,PC,*uktu,,nan,,begin
pc-30,PC,*uke,,nan,,shake
pc-28,PC,*okpe,,nan,,make
pc-37,PC,*atpo,,nan,,pierce
pc-36,PC,*ke,,nan,,cut
pc-18,PC,*pə,,nan,,shootblowgun
pc-23,PC,*amɨ,,nan,,build
pc-22,PC,*əne,,nan,,see
pc-21,PC,*əki,,nan,,bring
pc-38,PC,*kuku,,nan,courtz2008carib[411],try
pc-19,PC,*ɨka,,nan,,digout
pc-32,PC,*upi,,nan,,search
87,kax,irii,,,schuring2018kaxuyana[195],make
98,kax,jo,,,pc[Spike Gildea],cook
103,kax,mɨ,,,schuring2018kaxuyana[138],give
182,kax,atpo,,,schuring2018kaxuyana[46],pierce
150,kax,ene,,like in lg:hixka,schuring2018kaxuyana[124],see
185,kax,kuku,,,schuring2018kaxuyana[59],try
200,kax,oʔ,,,schuring2018kaxuyana[41],search
73,kax,ɨhɨ,,,pc[Spike Gildea],bathe
130,kax,ma,,,schuring2018kaxuyana[89],knockdown
52,kax,(i)ki,,Ambiguous whether it is obj:iki or obj:ki.,pc[Spike Gildea],gratemanioc
118,kax,wo,,,schuring2018kaxuyana[46],shoot
4,kax,ok(u),,,pc[Spike Gildea],eatstarch
39,kax,kahɨ,,,schuring2018kaxuyana[90],weave
17,kax,ono,,,pc[Spike Gildea],eatmeat
97,hix,jo,,,hixkaryanaderby1979[150],boil
85,hix,erʲe; e,,"Has obj:t͡ʃ-, probably because of the /e/.",hixkaryanaderby1985[192],do; fix; putdown
71,hix,ɨhɨ,,,hixkaryanaderby1979[150],bathe
188,hix,kukma,,,hixkaryanaderby1985[226],try
147,hix,okɨ,,with obj:s-; is obj:ekɨ otherwise,hixkaryanaderby1985[192],bring
102,hix,ɨmɨ,,,hixkaryanaderby1979[150],give
183,hix,atho,,,hixkaryanaderby1985[131],inject
30,hix,owɨ,,,hixkaryanaderby1979[150],takeaway
108,hix,hutwa,,,hixkaryanaderby1979[126],know
16,hix,ono,,,hixkaryanaderby1979[150],eatmeat
116,hix,wo,,,hixkaryanaderby1979[150],shoot
136,hix,nom,,"Likely does not take obj:t-, given that it is missing from the list of t-adding verbs.",hixkaryanaderby1985[153],leave
46,hix,kahɨ,,Not the default verb for 'to make'. Probably doesn't take obj:t-.,hixkaryanaderby1985[182],make
149,hix,oɲe,,has form obj:ʃeɲ,hixkaryanaderby1985[192],see
2,hix,okɨ,,,hixkaryanaderby1985[193],eatbread
123,wai,wo,,,waiwaihawkins1998[192],shoot
133,wai,nom,,,waiwaihawkins1998[192],leave
184,wai,atpo,,,waiwaihawkins1998[150],pierce
104,wai,mɨ,,,waiwaihawkins1998[192],give
160,wai,enɨ,,,waiwaihawkins1998[165],see
100,wai,jo,,,waiwaihawkins1998[192],boil
