ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
aka,Akawaio,,6.16277,-60.862,akaw1239,
mak,Ye'kwana,,4.70705,-64.3877,maqu1238,
kar,Kari'ña,,5.83772,-56.8323,gali1262,
wai,Waiwai,,1.50881,-59.1417,waiw1244,
tri,Tiriyó,,2.53616,-55.7599,trio1238,
ing,Ingarikó,,6.16277,-60.862,inga1250,
PC,Proto-Cariban,,,,cari1283,
ikp,Ikpeng,,-11.37822,-53.49553,ikpe1245,
way,Wayana,,2.77537,-54.4429,waya1269,
ara,Arara,,-3.71263,-53.0657,para1310,
pem,Pemón,,4.97031,-61.4033,pemo1248,
uxc,Upper Xingu Carib,,-12.3035,-53.2261,nucl1656,
apa,Apalaí,,1.49792,-54.7457,apal1257,
hix,Hixkaryána,,-0.16265,-58.80153,hixk1239,
pan,Panare,,6.95035,-65.8483,enap1235,
mac,Macushi,,4.31861,-60.2209,macu1259,
kax,Werikyana,,2.17138,-55.9101,kaxu1237,
